CONTAINER LIFECYCLE STATE TRACKING
State Machine: 7-State Container Lifecycle
Configuration:
  Base Memory: 125.0 MB
  Memory Multiplier: 1.5
  Total GPU Memory: 4096.0 MB

STATE DEFINITIONS
State,Phase,Description,Actions
CREATED,Registration,Container registered in scheduler,Memory allocated from pool
STARTING,Initialization,Subprocess being created,Process object created
ALLOCATING_MEMORY,GPU Setup,GPU memory allocation in progress,torch.zeros() executed
RUNNING,Execution,Container actively using GPU,Worker process executing
RELEASING_MEMORY,Cleanup,Memory being released,torch.cuda.empty_cache() called
COMPLETED,Final (Success),Container completed successfully,"Exit code 0, memory freed"
FAILED,Final (Error),Container failed with error,"Exit code != 0, memory freed"

Container ID,Current State,Timestamp (s),Time Since Launch (s),Memory Allocated (MB),Container Status,State Description
50,COMPLETED,1774879722.23,63.78,632.8,✓ SUCCESS,Finished successfully
51,STARTING,1774879713.53,0.00,949.2,✓ SUCCESS,Process being launched
51,ALLOCATING_MEMORY,1774879713.53,0.00,949.2,✓ SUCCESS,GPU memory being allocated
51,RUNNING,1774879713.53,0.00,949.2,✓ SUCCESS,Active execution on GPU
51,RELEASING_MEMORY,1774879777.45,63.93,949.2,✓ SUCCESS,Releasing allocated memory
51,COMPLETED,1774879777.45,63.93,949.2,✓ SUCCESS,Finished successfully
52,STARTING,1774879718.53,0.00,1423.8,✓ SUCCESS,Process being launched
52,ALLOCATING_MEMORY,1774879718.53,0.00,1423.8,✓ SUCCESS,GPU memory being allocated
52,RUNNING,1774879718.53,0.00,1423.8,✓ SUCCESS,Active execution on GPU
52,RELEASING_MEMORY,1774879782.29,63.76,1423.8,✓ SUCCESS,Releasing allocated memory
52,COMPLETED,1774879782.29,63.76,1423.8,✓ SUCCESS,Finished successfully
53,STARTING,1774879777.45,0.00,2135.7,✓ SUCCESS,Process being launched
