timestamp_s,time_hms,active_containers,memory_mb,utilization_percent
36240,10:04:00,3,4094.5,99.96
36270,10:04:30,3,4094.5,99.96
36300,10:05:00,3,4094.5,99.96
36330,10:05:30,3,4094.5,99.96
36360,10:06:00,3,4094.5,99.96
36390,10:06:30,3,4094.5,99.96
36420,10:07:00,3,4094.5,99.96
36450,10:07:30,3,4094.5,99.96
36480,10:08:00,3,4094.5,99.96
36510,10:08:30,3,4094.5,99.96
36540,10:09:00,3,4094.5,99.96
36570,10:09:30,3,4094.5,99.96
36600,10:10:00,3,4094.5,99.96
36630,10:10:30,3,4094.5,99.96
36660,10:11:00,3,4094.5,99.96
36690,10:11:30,3,4094.5,99.96
36720,10:12:00,3,4094.5,99.96
36750,10:12:30,3,4094.5,99.96
36780,10:13:00,3,4094.5,99.96
36810,10:13:30,3,4094.5,99.96
36840,10:14:00,3,4094.5,99.96
36870,10:14:30,3,4094.5,99.96
36900,10:15:00,3,4094.5,99.96
36930,10:15:30,3,4094.5,99.96
36960,10:16:00,3,4094.5,99.96
36990,10:16:30,3,4094.5,99.96
37020,10:17:00,3,4094.5,99.96
37050,10:17:30,3,4094.5,99.96
37080,10:18:00,3,4094.5,99.96
37110,10:18:30,3,4094.5,99.96
37140,10:19:00,3,4094.5,99.96
37170,10:19:30,3,4094.5,99.96
37200,10:20:00,3,4094.5,99.96
37230,10:20:30,3,4094.5,99.96
37260,10:21:00,3,4094.5,99.96
37290,10:21:30,3,4094.5,99.96
37320,10:22:00,3,4094.5,99.96
37350,10:22:30,3,4094.5,99.96
37380,10:23:00,3,4094.5,99.96
37410,10:23:30,3,4094.5,99.96
37440,10:24:00,3,4094.5,99.96
37470,10:24:30,3,4094.5,99.96
37500,10:25:00,3,4094.5,99.96
37530,10:25:30,3,4094.5,99.96
37560,10:26:00,3,4094.5,99.96
37590,10:26:30,3,4094.5,99.96
37620,10:27:00,3,4094.5,99.96
37650,10:27:30,3,4094.5,99.96
37680,10:28:00,3,4094.5,99.96
37710,10:28:30,3,4094.5,99.96
37740,10:29:00,3,4094.5,99.96
37770,10:29:30,3,4094.5,99.96
37800,10:30:00,3,4094.5,99.96
37830,10:30:30,3,4094.5,99.96
37860,10:31:00,3,4094.5,99.96
37890,10:31:30,3,4094.5,99.96
37920,10:32:00,3,4094.5,99.96
37950,10:32:30,3,4094.5,99.96
37980,10:33:00,3,4094.5,99.96
38010,10:33:30,3,4094.5,99.96
38040,10:34:00,3,4094.5,99.96
38070,10:34:30,3,4094.5,99.96
38100,10:35:00,3,4094.5,99.96
38130,10:35:30,3,4094.5,99.96
38160,10:36:00,3,4094.5,99.96
38190,10:36:30,3,4094.5,99.96
38220,10:37:00,3,4094.5,99.96
38250,10:37:30,3,4094.5,99.96
38280,10:38:00,3,4094.5,99.96
38310,10:38:30,3,4094.5,99.96
38340,10:39:00,3,4094.5,99.96
38370,10:39:30,3,4094.5,99.96
38400,10:40:00,3,4094.5,99.96
38430,10:40:30,3,4094.5,99.96
38460,10:41:00,3,4094.5,99.96
38490,10:41:30,3,4094.5,99.96
38520,10:42:00,3,4094.5,99.96
38550,10:42:30,3,4094.5,99.96
38580,10:43:00,3,4094.5,99.96
38610,10:43:30,3,4094.5,99.96
38640,10:44:00,3,4094.5,99.96
38670,10:44:30,3,4094.5,99.96
38700,10:45:00,3,4094.5,99.96
38730,10:45:30,3,4094.5,99.96
38760,10:46:00,3,4094.5,99.96
38790,10:46:30,3,4094.5,99.96
38820,10:47:00,3,4094.5,99.96
38850,10:47:30,3,4094.5,99.96
38880,10:48:00,3,4094.5,99.96
38910,10:48:30,3,4094.5,99.96
38940,10:49:00,3,4094.5,99.96
38970,10:49:30,3,4094.5,99.96
39000,10:50:00,3,4094.5,99.96
39030,10:50:30,3,4094.5,99.96
39060,10:51:00,3,4094.5,99.96
39090,10:51:30,3,4094.5,99.96
39120,10:52:00,3,4094.5,99.96
39150,10:52:30,3,4094.5,99.96
39180,10:53:00,3,4094.5,99.96
39210,10:53:30,3,4094.5,99.96
39240,10:54:00,3,4094.5,99.96
39270,10:54:30,3,4094.5,99.96
39300,10:55:00,3,4094.5,99.96
39330,10:55:30,3,4094.5,99.96
39360,10:56:00,3,4094.5,99.96
39390,10:56:30,3,4094.5,99.96
39420,10:57:00,3,4094.5,99.96
39450,10:57:30,3,4094.5,99.96
39480,10:58:00,3,4094.5,99.96
39510,10:58:30,3,4094.5,99.96
39540,10:59:00,3,4094.5,99.96
39570,10:59:30,3,4094.5,99.96
39600,11:00:00,3,4094.5,99.96
39630,11:00:30,3,4094.5,99.96
39660,11:01:00,3,4094.5,99.96
39690,11:01:30,3,4094.5,99.96
39720,11:02:00,3,4094.5,99.96
39750,11:02:30,3,4094.5,99.96
39780,11:03:00,3,4094.5,99.96
39810,11:03:30,3,4094.5,99.96
39840,11:04:00,3,4094.5,99.96
39870,11:04:30,3,4094.5,99.96
39900,11:05:00,3,4094.5,99.96
39930,11:05:30,3,4094.5,99.96
39960,11:06:00,3,4094.5,99.96
